county,cases,deaths,Population Density (people/mi^2),Diabetes Prevalence 2012 Both Sexes (%),Overall sufficient physical activity  prevalence 2011* (%),Overall obesity prevalence 2011* (%),Heavy Alcohol Consumption (%) 2012 (Heavy- past 30 days 1drink/day for women 2 for men),Binge Alcohol Consumption (%) 2012  (Binge- past 30 days >4 drinks one occasion >5 for men),,LandArea (mi^2),Population,"Male sufficient physical activity  prevalence, 2011* (%)","Female sufficient physical activity  prevalence, 2011* (%)","Male obesity  prevalence, 2011* (%)","Female obesity prevalence, 2011* (%)"
Walker AL,2493,89,78.87280223,15.71,39.05,40.8,4.3,10.5,,805.36,"63,521",42.9,35.2,39.0,42.5
Washington AL,588,12,14.99696864,17.87,46,43.4,4.5,9.4,,1088.62,"16,326",48.9,43.1,40.6,46.2
Wilcox AL,548,11,11.42979924,23.12,38.25,49.9,6.7,14.2,,907.54,"10,373",43.7,32.8,41.9,57.8
Winston AL,796,12,37.39357493,15.95,40.05,40.2,4.7,10.8,,631.9,"23,629",41.4,38.7,38.5,41.9
Aleutians East Borough AK,14,0,0.222292241,15.63,59.55,33.8,15.5,27.6,,15011.77,"3,337",60.3,58.8,29.7,37.8
Aleutians West Census Area,95,0,0.399158324,15.63,54.75,33.5,13.4,23.2,,14114.7,"5,634",54.8,54.7,30.7,36.2
Anchorage,5223,38,146.8256598,12.22,59.75,34.3,8.3,18.0,,1961.51,"288,000",61.3,58.2,31.8,36.7
Bethel Census Area,155,1,0.400090611,17.93,47.75,43.7,7.8,17.6,,45954.59,"18,386",52.3,43.2,36.1,51.2
Bristol Bay Borough,76,0,0.911062434,13.69,57.85,39.4,13.2,23.5,,917.61,836,59.9,55.8,36.9,41.9
Dillingham Census Area,31,0,0.238488885,16.28,50.4,42.5,9.0,20.3,,20613.12,"4,916",55.5,45.3,36.0,48.9
Fairbanks North Star Borough,1473,11,13.01090321,10.42,60.9,34.4,9.2,17.6,,7443.68,"96,849",62.4,59.4,35.4,33.3
Haines Borough,10,0,0.918630406,9.72,60.7,37.0,12.4,21.6,,2754.1,"2,530",63.1,58.3,35.6,38.3
Juneau City and Borough,389,1,10.37739523,10.23,59.15,34.7,10.0,20.3,,3081.12,"31,974",59.3,59.0,32.8,36.6
Kenai Peninsula Borough,657,1,2.709892251,10.53,56.95,37.4,10.0,19.1,,21664.33,"58,708",57.3,56.6,35.5,39.3
Ketchikan Gateway Borough,70,0,7.972814086,11.77,59,38.1,11.3,21.0,,1743.55,"13,901",60.2,57.8,37.1,39.0
Kodiak Island Borough,83,0,1.097257279,12.01,61.35,34.4,11.6,20.9,,11845.9,"12,998",60.7,62.0,32.9,35.8
Lake and Peninsula Borough,5,0,0.054880958,16.28,51.55,46.1,10.3,20.5,,29008.24,"1,592",54.1,49.0,40.2,52.0
Matanuska-Susitna Borough,706,2,4.292772668,11.4,59.6,36.3,9.3,17.7,,25232.41,"108,317",58.5,60.7,34.7,37.8
Nome Census Area,102,0,0.353796147,15.88,49.9,39.8,7.6,18.8,,28276.17,"10,004",51.4,48.4,33.3,46.3
North Slope Borough,161,0,0.104792956,15.74,51.35,40.6,9.2,19.7,,93823.1,"9,832",54.2,48.5,37.4,43.8
Northwest Arctic Borough,156,0,0.187427941,16.66,46.2,44.2,5.3,14.6,,40660.96,"7,621",49.7,42.7,37.2,51.2
Sitka City and Borough,69,0,1.75122429,10.81,59.2,33.9,10.3,19.0,,4849.75,"8,493",60.0,58.4,35.2,32.5
Southeast Fairbanks Census Area,47,0,0.262736207,11.35,59.95,37.0,10.1,18.4,,26235.44,"6,893",60.9,59.0,36.8,37.1
Valdez-Cordova Census Area  AK,132,0,0.211464054,11.09,60.4,36.8,11.5,21.1,,43515.67,"9,202",63.7,57.1,35.1,38.4
Apache AZ,3654,166,6.407514994,20.84,54,42.9,7.2,17.8,,11219.17,"71,887",59.3,48.7,36.4,49.4
Cochise,1943,73,20.24690802,13.87,57.55,33.6,8.1,17.9,,6219.32,"125,922",59.4,55.7,31.0,36.1
Coconino,4385,144,7.687901506,13.86,62.55,29.8,8.5,17.8,,18662.57,"143,476",64.8,60.3,26.7,32.9
Gila,1487,60,11.26280717,14.55,57.05,36.9,8.7,19.4,,4796.14,"54,018",55.7,58.4,35.6,38.1
Graham,907,26,8.367392227,15.74,56.1,40.6,5.5,14.9,,4641.47,"38,837",57.0,55.2,38.6,42.6
Greenlee,60,2,5.138081199,15.23,60.45,37.6,8.5,18.6,,1848.55,"9,498",62.2,58.7,36.0,39.2
La Paz AZ,557,15,4.676470979,16.67,50.25,41.4,11.0,22.7,,4513.66,"21,108",52.2,48.3,41.2,41.5
Maricopa AZ,144867,3454,486.231119,13.38,58.6,32.1,7.7,17.9,,9224.86,"4,485,414",59.3,57.9,31.6,32.6
Mohave AZ,4079,228,15.75153112,13.57,52,34.4,10.7,20.7,,13470.5,"212,181",54.2,49.8,35.2,33.6
Navajo AZ,5871,236,11.1367018,16.95,61.1,39.0,6.1,14.9,,9960.22,"110,924",64.3,57.9,35.4,42.6
Pima AZ,26217,630,113.9654865,12.98,59.95,32.4,8.4,17.8,,9189.44,"1,047,279",63.1,56.8,31.4,33.4
Pinal AZ,10919,214,86.10844936,15.76,55.5,40.0,9.0,19.3,,5374.49,"462,789",55.6,55.4,39.6,40.3
Santa Cruz AZ,2895,64,37.55229281,16.42,52.45,34.7,8.5,21.1,,1238.22,"46,498",57.4,47.5,32.3,37.0
Yavapai AZ,2672,84,28.92340739,12.08,61,29.5,9.6,17.3,,8128.33,"235,099",63.2,58.8,29.7,29.2
Yuma AZ,12894,347,38.7343006,16.67,48.9,40.2,9.7,19.5,,5519.32,"213,787",48.9,48.9,39.0,41.4
