county,cases,deaths,Population Density (people/mi^2),Diabetes Prevalence 2012 Both Sexes (%),Overall sufficient physical activity  prevalence 2011* (%),Overall obesity prevalence 2011* (%),Heavy Alcohol Consumption (%) 2012 (Heavy- past 30 days 1drink/day for women 2 for men),Binge Alcohol Consumption (%) 2012  (Binge- past 30 days >4 drinks one occasion >5 for men),,LandArea (mi^2),Population,"Male sufficient physical activity  prevalence, 2011* (%)","Female sufficient physical activity  prevalence, 2011* (%)","Male obesity  prevalence, 2011* (%)","Female obesity prevalence, 2011* (%)"
Hamilton,5357,119,839.257604,11.13,56.65,28.3,7.7,18.3,,402.75,"338,011",58.5,54.8,27.3,29.3
Hancock,1022,47,254.8264059,13.24,52.4,35.5,7.6,16.8,,306.75,"78,168",55.6,49.2,35.8,35.2
Harrison,652,26,83.2083958,13.85,47.05,37.3,8.0,17.6,,486.91,"40,515",49.0,45.1,38.5,36.1
Hendricks,2924,145,416.5101492,13.05,53.7,36.8,7.3,17.4,,408.9,"170,311",54.1,53.3,35.7,37.9
Henry,988,27,121.4696275,15.15,46.35,40.1,6.8,15.9,,394.93,"47,972",47.4,45.3,40.9,39.2
Howard,1455,67,280.8192148,14.98,48.55,40.1,6.7,17.3,,293.94,"82,544",52.7,44.4,38.2,42.0
Huntington,311,3,94.13584225,14.26,46.85,41.1,8.7,20.3,,387.95,"36,520",47.8,45.9,40.6,41.6
Jackson,873,11,86.0877012,14.84,49.85,36.7,6.0,16.1,,513.79,"44,231",51.0,48.7,36.6,36.7
Jasper,431,4,59.79759826,13.24,49.25,38.4,8.1,19.1,,561.26,"33,562",50.7,47.8,38.4,38.3
Jay,236,1,53.24093372,15.05,45.85,40.8,7.5,17.7,,383.84,"20,436",48.5,43.2,41.0,40.6
Jefferson,275,3,89.01011103,14.56,48.2,37.8,6.7,17.2,,362.97,"32,308",50.5,45.9,36.1,39.5
Jennings,337,15,73.29932872,14.98,47.95,37.7,7.7,17.0,,378.38,"27,735",50.8,45.1,38.2,37.1
Johnson,2612,135,491.8433982,13.19,50.7,36.1,7.3,17.4,,321.58,"158,167",51.9,49.5,35.6,36.5
Knox,588,10,69.82521752,14,47.4,38.6,8.1,19.4,,524.08,"36,594",47.4,47.4,39.3,37.9
Kosciusko,1456,19,143.3292445,13.77,50.3,37.7,7.3,17.6,,554.36,"79,456",51.9,48.7,36.0,39.3
LaGrange,690,12,102.4332221,14.19,43,42.7,4.6,14.1,,386.73,"39,614",43.7,42.3,39.5,45.8
Lake,11481,353,775.077429,16.48,48.8,41.5,6.8,18.2,,626.38,"485,493",50.7,46.9,39.2,43.7
LaPorte,1737,47,179.2363275,14.24,51,40.4,8.9,20.1,,613.09,"109,888",53.1,48.9,40.2,40.5
Lawrence,600,32,100.353904,14.87,49.55,37.8,7.1,16.3,,452.1,"45,370",53.1,46.0,36.2,39.4
Madison,1941,91,286.0621716,15.57,46.85,42.9,6.9,16.5,,452.94,"129,569",50.4,43.3,41.0,44.7
Marion,22862,824,2392.850587,15.91,47.9,37.8,7.4,17.3,,403.11,"964,582",49.7,46.1,34.2,41.3
Marshall,1105,26,102.8069786,13.49,51.55,37.4,7.2,17.4,,449.95,"46,258",52.5,50.6,36.7,38.1
Martin,178,0,30.11305242,14.5,49.5,39.0,7.6,19.3,,340.55,"10,255",51.8,47.2,36.5,41.5
Miami,463,4,94.11203561,15.19,47.95,40.7,7.7,17.1,,377.38,"35,516",51.7,44.2,38.1,43.3
Monroe,2895,41,360.8474741,13.86,56.75,32.4,9.0,18.2,,411.34,"148,431",58.3,55.2,32.1,32.6
Montgomery,517,23,75.85824809,14.34,48.6,38.0,7.6,18.7,,505.39,"38,338",51.4,45.8,36.1,39.9
Morgan,811,43,172.1721502,13.98,49.2,38.3,7.2,16.9,,409.41,"70,489",53.8,44.6,37.2,39.4
Newton,183,12,34.65160075,13.99,50.05,40.4,8.7,20.4,,403.56,"13,984",51.3,48.8,39.1,41.6
Noble,976,34,114.3212892,14.19,49.7,38.7,7.2,17.2,,417.63,"47,744",49.0,50.4,33.8,43.6
Ohio,83,7,67.15820759,14.92,49.9,37.4,7.4,17.6,,87.48,"5,875",52.2,47.6,38.2,36.6
Orange,308,26,48.12483159,14.86,46.05,39.4,6.4,16.4,,408.23,"19,646",45.7,46.4,36.8,42.0
Owen,178,2,53.62640196,14.6,47.1,39.7,7.7,17.0,,387.85,"20,799",48.4,45.8,39.5,39.9
Parke,156,2,37.62774371,14.66,46.8,40.9,6.8,16.7,,450.12,"16,937",49.3,44.3,39.3,42.5
Perry,257,14,49.61434931,14.44,48.3,38.4,9.7,21.3,,386.36,"19,169",50.6,46.0,37.4,39.4
Pike,255,6,36.32072706,14.04,50.35,39.0,7.0,17.2,,341.1,"12,389",50.8,49.9,38.9,39.0
Porter,2470,49,326.6409785,12.97,50.1,36.8,8.9,19.8,,521.64,"170,389",52.1,48.1,36.3,37.3
Posey,485,3,60.61696903,13.43,52.25,37.5,9.6,21.2,,419.47,"25,427",54.0,50.5,37.8,37.1
Pulaski,119,1,28.42449205,13.91,48.8,39.3,7.6,18.1,,434.59,"12,353",48.9,48.7,40.2,38.4
Putnam,641,14,77.85996975,14.09,48.65,39.3,7.2,16.8,,482.61,"37,576",51.9,45.4,38.8,39.8
Randolph,301,8,54.41569043,15.31,44.5,40.1,6.8,16.5,,453.27,"24,665",46.5,42.5,39.1,41.0
Ripley,339,8,63.23027124,14.05,50.1,36.6,10.2,21.9,,447.95,"28,324",50.8,49.4,38.0,35.2
Rush,208,4,40.57506424,14.61,48.35,38.1,7.3,16.7,,408.65,"16,581",48.8,47.9,39.0,37.1
Scott,449,13,589.6826258,13.72,43.2,39.7,6.5,15.9,,460.97,"271,826",44.6,41.8,38.4,40.9
Shelby,1201,37,123.8611601,15.16,48.8,39.0,9.4,19.3,,192.74,"23,873",50.1,47.5,39.5,38.4
Spencer,316,4,108.2659631,14.86,51.25,37.1,8.4,20.3,,413.14,"44,729",53.4,49.1,38.2,36.0
Starke,308,8,50.53332004,13.51,53.35,37.5,8.9,20.8,,401.26,"20,277",59.0,47.7,35.5,39.4
Steuben,454,9,73.62405148,13.9,45,41.7,9.0,20.5,,312.33,"22,995",45.1,44.9,42.0,41.3
St. Joseph,7520,140,107.2682171,13.25,55.2,37.8,8.8,19.5,,322.5,"34,594",55.6,54.8,37.2,38.4
Sullivan,364,12,45.51841085,14.57,47.35,40.3,7.0,16.9,,454.08,"20,669",48.8,45.9,39.7,40.9
Switzerland,74,0,48.0943008,15.66,45.7,40.3,7.3,17.4,,223.54,"10,751",46.8,44.6,39.6,40.9
Tippecanoe,2963,14,389.0364128,13.88,55.05,33.9,8.6,18.4,,503.12,"195,732",59.3,50.8,34.1,33.7
Tipton,252,26,58.16534193,13.82,51.3,37.0,7.5,17.4,,260.43,"15,148",54.9,47.7,35.7,38.3
Union,110,0,42.68425511,14.21,51.8,36.2,6.5,16.7,,165.26,"7,054",53.2,50.4,36.5,35.9
Vanderburgh,4529,37,769.6428571,14.88,48.95,37.7,7.7,19.5,,235.76,"181,451",53.4,44.5,35.5,39.9
Vermillion,148,1,59.61915753,14.31,50.7,38.0,10.5,21.1,,259.95,"15,498",52.5,48.9,36.8,39.2
Vigo,2098,31,260.7503045,14.29,47.05,39.1,7.7,17.9,,410.5,"107,038",47.0,47.1,37.6,40.5
Wabash,301,9,73.60721919,14.11,50.7,40.6,6.9,17.1,,421.1,"30,996",53.5,47.9,38.2,42.9
Warren,49,1,22.54316341,13.35,48.15,37.9,6.9,17.6,,366.63,"8,265",51.3,45.0,37.4,38.4
Warrick,1610,58,161.1737918,12.04,56.3,35.4,7.9,18.3,,390.87,"62,998",62.3,50.3,35.6,35.1
Washington,298,2,54.27338018,14.79,44.5,38.6,6.4,15.6,,516.57,"28,036",45.3,43.7,38.1,39.1
Wayne,1257,16,162.9259607,15.6,47.4,37.9,7.5,17.0,,404.38,"65,884",51.7,43.1,35.4,40.4
Wells,328,5,76.38690171,14.07,49.75,38.0,6.4,16.1,,370.43,"28,296",52.6,46.9,39.2,36.8
White,508,15,47.36842105,13.61,52,38.9,6.4,17.2,,508.82,"24,102",55.1,48.9,38.5,39.2
Whitley IN,338,7,100.5119706,13.53,55.15,39.4,8.4,18.6,,337.91,"33,964",56.0,54.3,36.5,42.3
Adair IA,87,1,12.54010836,12.62,54.95,35.6,10.0,22.6,,570.33,"7,152",55.0,54.9,37.3,33.9
Adams IA,52,0,8.466926802,12.87,53.95,36.5,10.6,24.0,,425.42,"3,602",54.0,53.9,36.8,36.1
Allamakee,286,8,20.7772296,12.05,54.7,35.8,10.8,28.0,,658.75,"13,687",57.5,51.9,36.7,34.8
Appanoose,168,3,24.06320804,13.04,53.6,37.7,9.2,21.9,,516.39,"12,426",53.6,53.6,36.9,38.5
Audubon,112,1,12.38954013,12.71,52.15,37.8,9.5,23.4,,443.6,"5,496",53.1,51.2,38.6,37.0
Benton,387,1,35.69142125,12.3,53.65,38.3,11.2,25.5,,718.52,"25,645",52.6,54.7,38.5,38.0
Black Hawk,4791,95,229.4356249,13.01,51.9,36.4,11.4,26.1,,571.96,"131,228",53.5,50.3,35.8,37.0
Boone IA,586,8,45.74048889,12.09,53.2,38.6,10.6,25.6,,573.54,"26,234",53.2,53.2,39.9,37.3
Bremer,541,7,57.00573196,11.54,57.55,34.0,10.1,25.6,,439.64,"25,062",57.3,57.8,33.2,34.7
Buchanan,334,1,36.93013359,12.48,51.4,37.1,11.5,27.2,,573.38,"21,175",52.3,50.5,37.1,37.0
Buena Vista,2104,12,33.82175487,13.75,51.75,37.5,8.5,21.0,,580.1,"19,620",50.4,53.1,38.9,36.0
Butler,307,2,24.82634113,12.26,52.55,34.8,9.7,24.9,,581.6,"14,439",54.2,50.9,35.8,33.7
Calhoun,234,3,16.89235231,12.39,55.35,36.1,9.4,23.4,,572.33,"9,668",56.2,54.5,36.5,35.7
Carroll,859,5,35.3604433,12.31,51.55,36.7,13.3,28.4,,570.27,"20,165",55.4,47.7,36.1,37.3
Cass,207,2,22.71737784,12.46,52.3,38.4,9.6,22.6,,565.03,"12,836",50.2,54.4,38.4,38.4
Cedar,291,3,32.00460473,12.36,53.35,38.5,11.4,26.2,,582.01,"18,627",51.8,54.9,39.9,37.1
Cerro Gordo,1167,23,73.80298341,11.86,54.95,34.5,9.6,25.1,,575.18,"42,450",56.6,53.3,35.8,33.2
Cherokee,319,2,19.4585888,12,54.85,35.6,10.3,25.3,,577.38,"11,235",55.7,54.0,36.5,34.6
Chickasaw,304,1,23.60492948,12.34,54.15,36.0,11.2,27.6,,505.53,"11,933",56.5,51.8,36.5,35.5
Clarke,279,3,21.76027794,13.68,53.1,37.8,9.3,21.8,,431.75,"9,395",55.7,50.5,38.6,37.0
Clay,407,4,27.97261422,11.62,54.9,34.4,9.4,24.1,,572.56,"16,016",54.3,55.5,34.8,34.0
Clayton,306,3,22.13407328,12.14,55,36.1,11.3,28.6,,792.85,"17,549",57.3,52.7,36.5,35.7
Clinton,1237,24,65.3690198,13.5,50.65,37.0,13.5,31.0,,710.26,"46,429",48.7,52.6,37.2,36.8
Crawford,1189,9,23.52315954,14.12,47.1,38.7,9.7,22.7,,715.04,"16,820",51.3,42.9,39.5,37.8
Dallas,3020,40,157.9211518,11.84,54.75,36.8,9.2,23.7,,591.77,"93,453",54.6,54.9,39.3,34.2
Davis,139,4,17.82425287,13.77,51.55,37.9,8.7,20.4,,504.93,"9,000",51.2,51.9,37.5,38.2
Decatur,95,0,14.75551222,13.73,50.65,36.2,10.1,20.6,,533.36,"7,870",51.0,50.3,36.3,36.0
Delaware,548,4,29.37590661,12.47,52.85,37.9,13.5,28.7,,579.08,"17,011",53.6,52.1,37.4,38.3
Des Moines,951,9,90.65677128,13.63,51.25,38.0,10.1,24.9,,429.83,"38,967",53.2,49.3,37.6,38.4
Dickinson,615,7,42.74850759,11.2,57.5,33.7,12.5,31.4,,403.71,"17,258",57.9,57.1,34.1,33.3
Dubuque,3940,47,157.811005,12.03,56.9,34.3,13.6,32.3,,616.63,"97,311",59.1,54.7,33.9,34.7
Emmet,336,11,22.88270378,12.43,52.8,37.4,9.2,24.3,,402.4,"9,208",53.8,51.8,36.9,37.8
Fayette,275,2,26.8637128,12.6,54.15,38.4,10.9,27.4,,731.47,"19,650",59.0,49.3,38.9,37.8
Floyd,388,9,31.20100533,12.41,53.95,35.1,10.4,26.3,,501.33,"15,642",55.7,52.2,35.3,34.9
Franklin,360,18,17.27094982,12.84,49.9,38.4,9.3,23.6,,583.06,"10,070",51.3,48.5,39.3,37.4
Fremont,159,0,13.46775286,12.75,56.25,38.0,11.6,27.1,,516.79,"6,960",55.9,56.6,38.7,37.2
Greene,145,0,15.56131382,12.39,50.9,38.8,9.4,23.7,,571.16,"8,888",52.1,49.7,38.8,38.8
Grundy,251,4,24.33841378,11.97,55,35.1,10.6,25.9,,502.58,"12,232",56.3,53.7,36.1,34.0
Guthrie,320,12,18.02255981,12.28,54.95,36.3,10.5,23.7,,593.09,"10,689",55.1,54.8,37.3,35.3
Hamilton,371,3,25.58228133,12.21,54.25,37.0,9.7,24.9,,577.47,"14,773",55.0,53.5,39.1,34.8
Hancock,237,3,18.54565756,12.1,54.45,36.3,9.2,23.2,,573.18,"10,630",55.4,53.5,36.4,36.1
Hardin,332,2,29.55490447,12.16,54.45,36.8,9.4,23.9,,569.99,"16,846",55.7,53.2,37.1,36.4
Harrison,371,5,20.04165537,12.45,51.95,37.4,10.8,23.1,,700.99,"14,049",54.3,49.6,39.1,35.7
Henry,881,5,45.69164892,13.28,52.7,36.5,10.0,24.0,,436.71,"19,954",53.5,51.9,37.4,35.6
Howard,207,7,19.32883073,12.42,53.15,36.5,11.5,28.5,,473.8,"9,158",55.5,50.8,37.0,36.0
Humboldt,233,3,21.93459552,12.24,53,37.2,9.7,25.5,,435.75,"9,558",54.5,51.5,36.7,37.7
Ida,155,2,15.87007819,12.22,53.55,35.9,8.8,22.8,,432.26,"6,860",55.1,52.0,37.4,34.3
Iowa,293,1,27.55239279,12.11,54.65,37.6,10.7,24.0,,587.39,"16,184",55.9,53.4,37.6,37.5
Jackson,433,3,29.9148982,13.25,56.7,37.0,13.6,29.4,,649.81,"19,439",58.0,55.4,37.4,36.6
Jasper,944,34,50.73195356,12.84,52,39.6,10.2,23.4,,732.97,"37,185",53.1,50.9,39.1,40.0
Jefferson,164,1,41.88799341,12.79,59.55,34.1,9.1,20.7,,436.76,"18,295",61.7,57.4,32.1,36.0
Johnson,5379,29,242.4407693,11.03,59.8,26.3,11.9,23.9,,623.41,"151,140",55.1,64.5,25.3,27.2
Jones,334,3,35.85844575,12.67,56.8,36.3,11.9,26.7,,576.74,"20,681",58.1,55.5,36.4,36.2
Keokuk,127,1,17.66582182,13.24,53.55,36.6,10.8,23.9,,579.99,"10,246",54.1,53.0,36.1,37.1
Kossuth,352,0,15.20123966,11.88,53.9,35.8,11.3,25.8,,974.46,"14,813",54.7,53.1,34.8,36.8
Lee,749,9,62.46659243,13.73,53.1,38.1,12.1,28.0,,538.8,"33,657",53.9,52.3,38.5,37.7
Linn,4574,117,312.8619138,12.24,53.8,35.8,10.4,24.3,,724.62,"226,706",54.6,53.0,36.3,35.2
Louisa,455,15,26.42037973,14.05,49.55,41.2,10.2,23.4,,417.67,"11,035",49.9,49.2,39.9,42.5
Lucas,164,6,19.80608461,13.25,52.55,38.9,10.3,23.4,,434.21,"8,600",54.2,50.9,37.6,40.2
Lyon,459,5,20.00238225,11.88,52.05,34.8,9.5,24.0,,587.68,"11,755",52.5,51.6,35.2,34.4
Madison,283,2,29.05411413,12.31,55.3,36.0,10.1,23.1,,562.33,"16,338",56.2,54.4,38.6,33.3
Mahaska,486,21,38.5299503,12.9,52.45,36.6,9.4,21.6,,573.45,"22,095",53.1,51.8,35.7,37.5
Marion,842,9,58.27929475,12.37,51.95,37.2,9.1,22.6,,570.58,"33,253",55.6,48.3,35.7,38.6
Marshall,1854,36,68.69841381,13.55,50.7,39.3,9.5,24.3,,573.07,"39,369",51.2,50.2,38.8,39.7
Mills,252,1,34.36206504,12.33,55.75,35.8,9.8,21.6,,439.7,"15,109",57.6,53.9,38.2,33.4
Mitchell,204,0,22.55123344,12.41,54.45,36.5,10.6,25.3,,469.42,"10,586",56.9,52.0,37.5,35.4
Monona,188,1,12.32668946,12.58,51.4,36.0,10.9,26.6,,698.89,"8,615",54.4,48.4,36.9,35.0
Monroe,179,11,17.75233796,13.41,53,36.6,11.3,27.1,,434.14,"7,707",53.5,52.5,35.8,37.4
Montgomery,119,5,23.34290556,12.97,52.1,38.1,10.0,25.1,,424.84,"9,917",52.0,52.2,38.4,37.7
Muscatine,1199,56,95.00100203,14.25,50.1,41.8,9.9,24.3,,449.09,"42,664",48.3,51.9,40.4,43.1
O'Brien,489,9,23.98918542,11.81,52.45,35.6,9.0,23.4,,573.3,"13,753",49.6,55.3,35.4,35.8
Osceola,199,0,14.91289547,12.39,51.7,37.2,9.3,24.2,,399.52,"5,958",52.3,51.1,37.3,37.1
Page,263,0,28.21734095,13.25,54.1,37.9,8.6,20.8,,535.38,"15,107",56.4,51.8,38.4,37.3
Palo Alto,248,0,15.60453069,12.1,53.15,38.2,10.3,24.5,,569.45,"8,886",53.6,52.7,39.0,37.4
Plymouth,1335,24,29.13937177,11.84,51.4,37.3,11.7,27.5,,864.02,"25,177",49.8,53.0,38.4,36.2
Pocahontas,189,2,11.42842343,12.29,55.95,35.2,12.0,27.5,,579.17,"6,619",56.5,55.4,35.5,34.9
Polk,16828,272,828.058587,12.58,52.9,35.7,10.0,24.0,,591.94,"490,161",52.9,52.9,35.9,35.4
Pottawattamie,2489,43,97.08857199,13.57,51.6,38.1,11.1,25.0,,960.01,"93,206",53.0,50.2,38.8,37.4
Poweshiek,372,10,31.56494149,12.12,55.65,36.7,11.5,26.1,,586.22,"18,504",56.5,54.8,37.0,36.3
Ringgold,64,2,9.080451239,13.01,54.35,35.1,9.1,22.0,,538.96,"4,894",56.3,52.4,36.0,34.2
Sac,318,1,16.80612704,12.17,54.25,36.0,10.8,24.9,,578.42,"9,721",55.6,52.9,36.7,35.2
Scott,3450,29,369.3784707,12.36,55.75,35.6,12.4,27.1,,468.2,"172,943",57.2,54.3,36.4,34.7
Shelby,300,1,19.3676023,12.2,51.85,37.5,11.6,26.3,,591.4,"11,454",54.2,49.5,38.9,36.0
Sioux,2000,7,45.34573603,11.56,49.05,35.5,7.8,20.8,,768.65,"34,855",49.4,48.7,36.1,34.8
Story,3656,17,169.273003,11.51,56.7,34.5,9.8,22.4,,573.73,"97,117",56.6,56.8,34.7,34.3
Tama,829,34,23.32991888,13.61,50.75,37.9,10.9,25.6,,722.42,"16,854",52.4,49.1,38.1,37.7
Taylor,190,1,11.44433019,13.35,53.5,35.1,9.8,22.0,,534.85,"6,121",54.8,52.2,35.3,34.8
Union,174,3,28.7360909,12.99,53.6,35.2,10.5,24.9,,425.98,"12,241",55.8,51.4,36.8,33.6
Van Buren,134,1,14.35822173,13.43,54.8,37.2,10.7,24.0,,490.59,"7,044",54.2,55.4,37.6,36.7
Wapello,1405,58,80.20044952,14.08,49.3,36.9,9.4,22.5,,436.02,"34,969",46.9,51.7,36.1,37.6
Warren,1023,6,89.78089456,12.34,51.9,38.9,10.8,24.7,,573.24,"51,466",53.4,50.4,39.5,38.2
Washington,543,11,38.48040504,12.58,53.2,37.8,9.9,22.8,,570.81,"21,965",54.4,52.0,37.5,38.0
Wayne,98,3,12.21922902,13.48,54,36.8,9.8,22.0,,527.12,"6,441",54.0,54.0,36.1,37.4
Webster,1539,14,49.99860744,13.05,52.25,37.4,10.9,26.5,,718.1,"35,904",53.7,50.8,38.0,36.8
Winnebago,359,15,25.7825145,11.83,54.8,34.9,8.8,25.0,,401.59,"10,354",57.0,52.6,36.1,33.7
Winneshiek,370,9,28.9754033,11,56.25,33.8,12.5,31.9,,689.93,"19,991",59.3,53.2,35.1,32.5
Woodbury,6206,76,117.5102287,13.68,48.05,37.9,9.5,23.1,,877.43,"103,107",49.5,46.6,37.5,38.3
Worth,117,0,18.37303662,12.12,55.2,37.5,9.1,24.7,,401.73,"7,381",56.8,53.6,39.5,35.4
Wright IA,637,1,21.56270383,12.56,53.05,37.6,10.7,28.0,,582.58,"12,562",54.7,51.4,37.2,38.0
Allen KS,97,1,24.48143457,14.23,52.3,40.8,7.5,17.4,,505.24,"12,369",53.5,51.1,39.1,42.4
Anderson,87,0,13.44742021,13.67,50.1,39.7,7.8,17.6,,584.35,"7,858",52.7,47.5,38.5,40.8
Atchison,366,4,36.94432952,14.3,49.45,40.7,8.1,20.1,,435.06,"16,073",53.5,45.4,39.5,41.8
Barber,14,0,3.896081037,13.27,55.6,36.7,8.0,17.4,,1136.27,"4,427",57.2,54.0,36.7,36.6
Barton,567,7,28.62742921,13.85,50.05,39.8,7.8,18.2,,900.5,"25,779",48.8,51.3,38.5,41.1
Bourbon,212,3,22.74918608,13.77,51.6,40.4,7.3,17.3,,638.88,"14,534",53.2,50.0,38.1,42.7
Brown,161,5,16.71355923,13.79,53.7,37.1,9.4,21.8,,572.23,"9,564",55.5,51.9,35.9,38.3
Butler,1064,4,46.25749227,13.25,50.35,38.1,6.9,16.5,,1446.49,"66,911",52.6,48.1,38.3,37.8
Chase,87,1,3.403336504,13.34,53.4,38.0,7.5,15.4,,778.06,"2,648",55.5,51.3,38.9,37.0
Chautauqua,24,0,5.039775459,14.93,50.25,39.0,7.0,15.0,,644.87,"3,250",52.6,47.9,37.5,40.4
Cherokee,559,8,33.73659098,14.91,49.25,41.5,7.9,17.9,,591.02,"19,939",51.2,47.3,41.1,41.8
Cheyenne,78,2,2.602631038,11.64,54.2,34.4,8.2,19.1,,1020.89,"2,657",54.1,54.3,35.1,33.7
Clark,56,1,2.040377787,12.18,57.35,36.0,6.9,15.4,,977.27,"1,994",57.5,57.2,36.2,35.8
Clay,62,2,12.20822018,12.12,54.65,35.8,7.4,19.6,,655.46,"8,002",56.5,52.8,35.6,36.0
Cloud,76,1,12.22808312,12.95,53.7,37.0,8.5,20.0,,718.51,"8,786",54.3,53.1,37.4,36.6
Coffey,132,9,12.49408063,13.07,55.3,36.9,7.5,18.5,,654.63,"8,179",57.7,52.9,36.9,36.9
Comanche,16,0,2.15257993,12.49,54.75,37.1,7.5,19.1,,789.75,"1,700",56.1,53.4,37.2,37.0
Cowley,426,8,30.81921478,15.33,49.4,40.0,6.7,14.2,,1132.67,"34,908",51.3,47.5,38.7,41.3
Crawford,1191,8,65.22827713,14.59,48.3,39.9,7.5,17.7,,595.11,"38,818",47.3,49.3,39.5,40.2
Decatur,31,1,3.161379064,11.81,56.65,34.4,8.2,20.2,,894.23,"2,827",56.6,56.7,35.0,33.7
Dickinson,239,2,21.65693242,13.2,49.1,38.3,7.4,18.2,,852.66,"18,466",47.3,50.9,37.3,39.2
Doniphan,123,0,19.13875598,13.48,52.65,39.3,8.8,20.9,,397.1,"7,600",54.8,50.5,38.8,39.7
Douglas,2524,14,257.658588,12.42,57.6,32.2,8.9,21.3,,474.5,"122,259",60.4,54.8,31.8,32.6
Edwards,55,0,4.497452301,13.53,52.55,37.5,9.3,20.2,,622.13,"2,798",52.9,52.2,37.9,37.1
Elk,11,0,3.889854092,14.17,53.45,38.0,7.2,16.2,,650.41,"2,530",56.7,50.2,38.2,37.8
Ellis,1141,9,31.70723582,11.91,53.7,35.0,10.2,22.7,,900.52,"28,553",53.0,54.4,35.8,34.1
Ellsworth,76,0,8.434351113,13.02,56.55,37.0,7.7,17.1,,723.47,"6,102",56.4,56.7,36.7,37.2
Finney,2363,12,27.99361322,15.82,47.25,39.2,7.2,16.6,,1302.69,"36,467",47.2,47.3,38.7,39.7
Ford,3034,10,30.58079774,16.13,44.1,41.4,7.0,16.8,,1099.35,"33,619",44.3,43.9,39.2,43.6
Franklin,435,3,44.29339345,13.56,50.7,38.9,7.5,19.3,,576.7,"25,544",53.1,48.3,38.3,39.5
Geary,463,3,78.40079218,15.77,53.35,36.9,7.7,16.3,,403.95,"31,670",55.2,51.5,35.2,38.6
Gove,53,0,2.459987868,11.32,57.15,33.8,9.5,20.2,,1071.55,"2,636",57.4,56.9,34.4,33.1
Graham,44,1,2.761705537,12.14,55.2,35.1,10.6,22.4,,898.72,"2,482",55.9,54.5,34.7,35.5
Grant,343,7,12.43262041,14.69,54.55,37.8,7.2,16.7,,575.1,"7,150",55.2,53.9,37.5,38.0
Gray,137,0,6.887587849,13.25,46.95,41.1,6.8,15.7,,869.39,"5,988",46.5,47.4,41.0,41.2
Greeley,19,0,1.583445794,11.58,55.95,35.5,8.4,20.2,,778.05,"1,232",56.4,55.5,35.1,35.8
Greenwood,56,0,5.189735048,14.2,54.65,36.5,7.2,16.8,,1152.66,"5,982",57.1,52.2,36.9,36.0
Hamilton,48,0,2.544955195,13.43,51.55,35.7,8.3,18.6,,997.66,"2,539",51.9,51.2,34.8,36.6
Harper,120,2,6.769613948,13.61,51.5,38.4,8.3,17.9,,803,"5,436",52.5,50.5,37.6,39.2
Harvey,398,8,63.69371369,13.25,48.35,38.0,6.1,15.7,,540.54,"34,429",49.8,46.9,37.7,38.3
Haskell,140,1,6.868022501,13.95,46.7,40.3,7.0,15.3,,577.75,"3,968",46.8,46.6,39.5,41.1
Hodgeman,30,0,2.085343314,12.27,56.6,36.8,7.6,17.2,,860.29,"1,794",56.8,56.4,37.2,36.4
Jackson,266,3,20.01975984,13.39,55.2,37.4,8.2,19.0,,657.9,"13,171",58.2,52.2,36.2,38.6
Jefferson,221,4,34.18973751,12.68,55.05,37.8,9.0,20.7,,556.98,"19,043",55.9,54.2,37.6,37.9
Jewell,17,1,3.148133973,12.54,56.05,35.5,8.2,19.5,,914.51,"2,879",56.5,55.6,36.0,34.9
Johnson,12329,161,1254.531634,10.88,57.15,29.9,8.1,19.6,,480.18,"602,401",58.8,55.5,30.7,29.0
Kearny,103,1,4.403547621,13.42,49.95,38.3,7.6,17.2,,871.57,"3,838",49.9,50.0,37.4,39.1
Kingman,105,1,8.251514277,13.76,51.65,38.8,7.5,17.3,,866.75,"7,152",54.2,49.1,38.3,39.2
Kiowa,29,0,3.424799701,13,57.3,35.5,7.2,16.7,,722.67,"2,475",58.2,56.4,35.8,35.2
Labette,264,5,30.02632546,14.23,47.3,39.9,6.4,15.9,,653.36,"19,618",47.8,46.8,37.9,41.9
Lane,16,0,2.139432458,12.06,54.95,37.0,8.8,21.3,,717.48,"1,535",55.3,54.6,37.9,36.1
Leavenworth,2349,15,174.5623025,13.92,51.1,38.1,8.4,18.8,,468.36,"81,758",53.4,48.8,36.7,39.5
Lincoln KS,15,0,4.114060308,12.91,55.3,36.5,7.1,15.5,,719.97,"2,962",55.2,55.4,35.6,37.4
Linn,90,0,16.0023089,13.77,50.95,39.1,7.5,17.8,,606.35,"9,703",53.9,48.0,37.7,40.5
Logan,41,0,2.603501775,11.88,55.55,33.7,7.5,16.7,,1073.17,"2,794",56.0,55.1,34.8,32.6
Lyon,1126,36,38.81502789,15.25,48.85,38.8,7.4,17.5,,855.21,"33,195",47.6,50.1,39.0,38.5
Marion KS,113,1,31.66794262,12.38,52.25,38.7,6.3,14.9,,901.29,"28,542",54.6,49.9,38.9,38.4
Marshall,43,0,12.46237901,13.08,54.2,36.1,9.3,21.3,,953.59,"11,884",54.7,53.7,37.3,34.9
McPherson,289,1,10.73296403,12.95,51.9,38.2,6.2,16.2,,904.41,"9,707",49.5,54.3,38.8,37.5
Meade,149,1,4.11648226,12.89,53.65,36.9,7.4,17.5,,979.72,"4,033",53.3,54.0,37.0,36.8
Miami KS,444,1,58.00914944,12.83,55.4,38.0,8.0,19.3,,590.2,"34,237",60.7,50.1,37.0,38.9
